Point ID,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude
33,-0.10569,0.32528,-0.939693,1,-0.052845,0.16264,-0.469846,0.5
34,-0.2767,0.201034,0.939693,1,-0.13835,0.100517,0.469846,0.5
35,-0.520026,0.377821,0.766044,1,-0.260013,0.188911,0.383022,0.5
36,-0.700629,0.509037,0.5,1,-0.350315,0.254518,0.25,0.5
37,-0.796726,0.578855,0.173648,1,-0.398363,0.289428,0.0868241,0.5
38,-0.796726,0.578855,-0.173648,1,-0.398363,0.289428,-0.0868241,0.5
39,-0.700629,0.509037,-0.5,1,-0.350315,0.254518,-0.25,0.5
40,-0.520026,0.377821,-0.766044,1,-0.260013,0.188911,-0.383022,0.5
41,-0.2767,0.201034,-0.939693,1,-0.13835,0.100517,-0.469846,0.5
42,-0.34202,4.18854e-17,0.939693,1,-0.17101,2.09427e-17,0.469846,0.5
43,-0.642788,7.87188e-17,0.766044,1,-0.321394,3.93594e-17,0.383022,0.5
44,-0.866025,1.06058e-16,0.5,1,-0.433013,5.30288e-17,0.25,0.5
45,-0.984808,1.20604e-16,0.173648,1,-0.492404,6.03021e-17,0.0868241,0.5
46,-0.984808,1.20604e-16,-0.173648,1,-0.492404,6.03021e-17,-0.0868241,0.5
47,-0.866025,1.06058e-16,-0.5,1,-0.433013,5.30288e-17,-0.25,0.5
48,-0.642788,7.87188e-17,-0.766044,1,-0.321394,3.93594e-17,-0.383022,0.5
49,-0.34202,4.18854e-17,-0.939693,1,-0.17101,2.09427e-17,-0.469846,0.5
50,-0.2767,-0.201034,0.939693,1,-0.13835,-0.100517,0.469846,0.5
51,-0.520026,-0.377821,0.766044,1,-0.260013,-0.188911,0.383022,0.5
52,-0.700629,-0.509037,0.5,1,-0.350315,-0.254518,0.25,0.5
53,-0.796726,-0.578855,0.173648,1,-0.398363,-0.289428,0.0868241,0.5
54,-0.796726,-0.578855,-0.173648,1,-0.398363,-0.289428,-0.0868241,0.5
55,-0.700629,-0.509037,-0.5,1,-0.350315,-0.254518,-0.25,0.5
56,-0.520026,-0.377821,-0.766044,1,-0.260013,-0.188911,-0.383022,0.5
57,-0.2767,-0.201034,-0.939693,1,-0.13835,-0.100517,-0.469846,0.5
58,-0.10569,-0.32528,0.939693,1,-0.052845,-0.16264,0.469846,0.5
59,-0.198632,-0.611327,0.766044,1,-0.0993161,-0.305664,0.383022,0.5
60,-0.267617,-0.823639,0.5,1,-0.133808,-0.41182,0.25,0.5
61,-0.304322,-0.936608,0.173648,1,-0.152161,-0.468304,0.0868241,0.5
62,-0.304322,-0.936608,-0.173648,1,-0.152161,-0.468304,-0.0868241,0.5
63,-0.267617,-0.823639,-0.5,1,-0.133808,-0.41182,-0.25,0.5
64,-0.198632,-0.611327,-0.766044,1,-0.0993161,-0.305664,-0.383022,0.5
65,-0.10569,-0.32528,-0.939693,1,-0.052845,-0.16264,-0.469846,0.5
66,0.10569,-0.32528,0.939693,1,0.052845,-0.16264,0.469846,0.5
67,0.198632,-0.611327,0.766044,1,0.0993161,-0.305664,0.383022,0.5
68,0.267617,-0.823639,0.5,1,0.133808,-0.41182,0.25,0.5
69,0.304322,-0.936608,0.173648,1,0.152161,-0.468304,0.0868241,0.5
70,0.304322,-0.936608,-0.173648,1,0.152161,-0.468304,-0.0868241,0.5
71,0.267617,-0.823639,-0.5,1,0.133808,-0.41182,-0.25,0.5
72,0.198632,-0.611327,-0.766044,1,0.0993161,-0.305664,-0.383022,0.5
73,0.10569,-0.32528,-0.939693,1,0.052845,-0.16264,-0.469846,0.5
74,0.2767,-0.201034,0.939693,1,0.13835,-0.100517,0.469846,0.5
75,0.520026,-0.377821,0.766044,1,0.260013,-0.188911,0.383022,0.5
76,0.700629,-0.509037,0.5,1,0.350315,-0.254518,0.25,0.5
77,0.796726,-0.578855,0.173648,1,0.398363,-0.289428,0.0868241,0.5
78,0.796726,-0.578855,-0.173648,1,0.398363,-0.289428,-0.0868241,0.5
79,0.700629,-0.509037,-0.5,1,0.350315,-0.254518,-0.25,0.5
80,0.520026,-0.377821,-0.766044,1,0.260013,-0.188911,-0.383022,0.5
81,0.2767,-0.201034,-0.939693,1,0.13835,-0.100517,-0.469846,0.5
